mu,shape
10.285354,6.8340173
10.360802,5.053908
9.68877,5.104004
10.925228,4.6267343
10.883095,6.773141
12.18974,6.5527415
10.452364,10.566868
9.848738,6.1155553
11.49685,9.091381
11.014607,8.3877945
11.977699,8.026028
12.939583,7.906903
10.191117,6.3471007
9.284573,6.877476
11.733672,7.494668
10.263469,5.908347
11.291269,7.6610003
10.509884,4.5039153
10.4709015,9.137393
10.562788,4.3391557
11.907007,8.308615
10.71393,9.592439
11.519266,7.8972774
11.897106,8.555232
12.252884,4.901977
11.874167,9.998582
10.332766,7.6157274
10.95664,6.663808
12.20531,4.3127894
10.352969,5.4007196
10.517885,7.389035
12.136209,4.9947414
11.450437,8.922426
12.607856,4.692115
10.565224,8.091759
11.69615,8.1486845
12.408232,9.954654
11.576105,4.3935666
12.029749,5.9308496
12.580799,2.499599
11.805327,4.850594
12.072384,9.389095
10.4109745,5.296522
12.228507,9.279335
10.289386,7.3576365
11.417919,5.4229994
12.730925,6.611452
10.727859,6.6213346
10.4021435,5.024536
10.634164,5.9271884
11.303808,7.1160936
10.941771,6.7853246
11.5247555,5.498941
11.081039,6.433424
11.32624,8.667127
9.926574,6.991414
12.336697,4.001058
12.389396,8.133652
12.143511,6.475152
12.917005,4.55125
10.105387,5.1944747
12.187813,5.4924746
12.686329,4.991067
10.288155,4.5705247
10.547397,8.408441
10.798154,6.894256
10.965813,4.032584
11.1341505,4.0452614
11.11321,5.478481
11.3112,3.9921513
10.60149,7.166796
11.844846,7.0399556
14.845084,3.7454557
11.30529,9.898498
10.480343,5.8965664
11.325268,7.604023
12.682915,2.7388735
11.322474,6.2207003
11.992527,3.3690324
10.825669,6.2455845
11.637697,5.092546
12.17374,3.2636347
12.077558,5.693582
11.8767185,6.2616386
10.604101,5.6502023
13.855988,4.3336926
11.6152725,8.67593
11.387205,4.7400265
11.595669,6.2677984
10.355109,5.6502934
9.316897,3.8867738
10.296414,4.7533603
12.114365,4.028446
10.440887,7.2242923
10.452532,5.761178
12.473148,3.9678874
11.627674,5.678115
10.935436,6.300794
11.771019,6.904723
11.924686,4.3300667
11.883301,7.0003486
11.339972,6.7937727
10.501776,9.090573
11.0840225,6.5715528
12.696623,6.386517
11.770769,4.264544
11.422916,6.8350544
11.725494,8.450097
11.421312,5.7483797
11.202949,8.505491
11.2881365,6.4329405
10.674181,5.6773863
11.262614,4.1355596
13.912729,5.40391
12.244282,3.5782824
12.230413,4.9334397
10.963711,6.572524
11.368742,8.765642
11.579296,5.028111
10.2451935,7.602678
12.169245,6.2036405
11.734695,8.046686
11.779599,6.885472
10.9853,4.984318
10.656997,8.984194
10.561103,6.003437
11.733944,7.1162806
9.689003,5.963618
10.913552,9.634003
11.959314,5.3672085
11.906815,5.7114935
11.303382,9.820364
11.012804,4.412642
10.451824,6.5469956
11.311936,6.6807275
10.608747,5.2363577
10.227102,4.1868124
11.198185,4.9120445
10.236757,6.117309
12.002853,10.361364
11.455215,3.7363307
10.749998,9.65857
10.577082,11.852131
13.038921,5.420496
12.052113,8.856255
11.10475,5.5426683
11.587435,4.2881546
10.154131,6.887218
12.729261,4.8101053
11.384462,5.0615196
11.055748,4.973518
12.435814,6.833462
12.332317,6.0102777
12.832328,7.540383
11.176058,11.017263
12.172155,5.4388137
12.721661,6.6871758
11.853547,7.1242437
9.896742,4.0639715
12.020382,6.8427196
12.227183,6.0356054
10.910157,4.2906456
12.238707,5.1709843
11.679422,8.403003
14.092238,4.9189615
10.818479,6.5391483
10.405674,6.2475433
10.264822,6.876412
11.555979,11.093456
11.731291,8.433868
14.293983,4.6881533
11.586645,7.72325
11.746613,6.1125407
11.833473,7.620891
10.284052,7.269053
11.0216055,5.918063
11.512312,4.6914854
10.182447,5.1292677
11.48571,7.7604017
10.28097,5.853673
12.948027,7.4044285
11.644475,5.476653
10.431801,9.964905
11.219944,6.5406466
13.917446,5.3254995
12.977284,6.732895
12.019686,5.484688
12.549206,7.619238
11.1384945,4.0163703
11.770119,5.438188
11.75317,6.647802
12.158544,5.4919286
12.981617,4.362759
10.418038,7.6947303
9.810406,4.368319
10.871647,8.262557
10.172018,5.4554043
10.523103,6.155311
12.039484,4.537402
10.633806,6.758517
11.74666,6.064175
13.612963,3.304761
11.921585,6.3829937
12.252262,3.9471145
10.105777,8.2823715
10.150096,5.0360084
11.237556,5.87189
10.2055,8.878242
11.214783,9.154286
11.627691,3.7652814
11.618399,4.6647086
11.249735,5.3732758
10.411657,3.2719865
11.082702,6.4854126
11.914882,6.4533014
10.237632,6.043611
11.350903,3.5809999
10.85504,5.6843843
11.306639,4.287199
11.094918,9.740081
12.04236,7.1111636
11.385563,4.120376
10.953794,5.4296393
11.177136,6.062601
12.5057125,3.6910746
11.047206,6.575761
12.979497,5.113993
9.974627,3.0023847
11.81008,4.9181924
11.678938,5.4121046
12.242728,3.6608274
12.607339,4.128614
11.736232,6.573097
12.150928,6.60102
13.6926565,5.7834625
10.351787,8.299426
12.908634,5.201511
11.616629,6.2230473
12.48518,5.5623646
12.544359,4.739141
11.629269,4.102087
11.8741,5.653092
13.3804035,8.480812
12.43553,6.193698
10.287632,7.7837663
10.212266,5.9806194
11.423488,4.5385623
11.830461,5.304319
12.135459,4.8181076
10.083815,3.9113023
12.484947,5.207046
9.967989,4.308165
12.010895,4.60905
12.393602,5.4893866
10.565944,5.5128884
10.267463,6.699368
10.423658,7.2823977
10.955173,7.211368
11.545288,2.922411
11.295057,3.370252
10.660715,5.392774
10.966127,6.883149
10.937538,4.9049478
10.748657,4.8012853
9.7147665,9.390049
10.237837,6.7889547
12.161321,8.756414
11.356706,4.842786
12.675663,6.250895
11.680737,4.410623
11.038339,3.5905352
12.650945,4.7773943
11.561545,5.649126
12.801203,6.462043
12.388773,7.73213
8.723576,5.4193144
12.029287,7.3457885
11.795466,6.557129
10.704915,5.6098013
12.866078,5.07934
12.198991,6.719897
11.662565,9.398407
10.654062,5.5369406
11.773071,7.2762947
12.442635,7.0727963
8.666103,3.0657282
12.326914,6.9994407
11.412642,8.082424
10.397549,4.592613
10.816381,7.3240557
12.494593,5.8469806
11.977154,6.2241793
11.232561,6.27338
10.6124735,7.369929
11.487959,4.536319
12.949505,4.7946672
10.789312,5.2217703
11.383312,5.965471
11.529163,7.0882664
10.555218,7.655375
10.238532,6.5236444
10.813948,8.386135
10.383312,7.5541754
11.596025,5.3238406
10.663832,5.0476995
